name,geometry,nearest_church_id,nearest_church_point,distance_to_nearest_church,distance_to_nearest_church_m
Mammut,POINT (19.0269507607113 47.50908144618073),267656227,POINT (19.0247925 47.5129903),0.004465112258203255,496.24811126445155
Hűvösvölgy,POINT (18.96607147353021 47.53800329189616),268373189,POINT (18.9695149 47.5382754),0.0034541610664570285,383.8920067649677
Bécsi út,POINT (19.02877276447556 47.54411998758937),252571964,POINT (19.0324158 47.5460157),0.004106754603838669,456.4205999160258
Flórián tér,POINT (19.04086191534027 47.542418394233785),3840004145,POINT (19.039556 47.5432574),0.001552206671707162,172.5106972868623
Ferenciek tere (Antikvárium),POINT (19.05687662698959 47.49391146792732),24324325,POINT (19.0564677 47.4931962),0.0008239110939104402,91.56865506611241
Nyugati tér,POINT (19.05595628835068 47.510065346587254),272142445,POINT (19.0518427 47.5078956),0.0046507428838557605,516.8789133688454
Oktogon,POINT (19.06207008465973 47.506303837319905),6131088961,POINT (19.0643629 47.5083606),0.0030801420270527994,342.3239047446211
West End,POINT (19.058774523875122 47.51318164887298),25081122,POINT (19.0606108 47.5168433),0.0040962908811247685,455.25767223732566
Rákóczi út,POINT (19.063294626989595 47.49557496131232),256539415,POINT (19.0673425 47.4960437),0.004074922314066879,452.8827910630789
Aréna,POINT (19.091236100576474 47.49862796394881),1111547538,POINT (19.0860774 47.4970074),0.005407256157229164,600.957042058292
Corvin,POINT (19.074462764475562 47.48646351215681),5030693648,POINT (19.072487 47.4868306),0.0020095767583038883,223.34235134113584
Árkád,POINT (19.140940597694097 47.50343242654524),5974856442,POINT (19.1423336 47.5043193),0.0016513630579041228,183.5308388924063
Árkád aluljáró szint,POINT (19.14106866897508 47.503569835962196),5974856442,POINT (19.1423336 47.5043193),0.0014702880132019226,163.40633949924847
Etele,POINT (19.024008663899085 47.46505042057899),308611049,POINT (19.0252092 47.465955),0.0015031802481784166,167.06194960230104
MOM Park,POINT (19.024072886044777 47.49089049042988),250484755,POINT (19.027238 47.4905366),0.0031848366968978636,353.95956565653165
Duna Pláza,POINT (19.072690269274588 47.54944231291618),124147627,POINT (19.0770387 47.5472244),0.004881391961055496,542.5130211597468
Sugár,POINT (19.138464034371495 47.50478284156879),5974856442,POINT (19.1423336 47.5043193),0.0038972309322531113,433.13434857967854
Pólus,POINT (19.14213566136109 47.55349419145007),8410138940,POINT (19.136606 47.5440637),0.010932123478909189,1214.9852713224884
Köki,POINT (19.14613426989594 47.463393723196674),298998739,POINT (19.1503049 47.4689099),0.006915371428234356,768.567465162538
Shopmark,POINT (19.129235645444336 47.46419884881357),288513504,POINT (19.1266631 47.4566272),0.007996740324605404,888.7497229363199
Csepel,POINT (19.06769696562851 47.42415196496203),111312443,POINT (19.0691558 47.4197929),0.004596699366572845,510.8725709015394
Campona,POINT (19.015961997462 47.406573120285),288238325,POINT (19.0111463 47.413363),0.008324266249321637,925.1506266833574
Békéscsaba,POINT (21.090459220914752 46.67696777678609),113525200,POINT (21.091015 46.673626),0.0033876780366017085,376.5031493098773
Budaörs,POINT (18.96360392983123 47.45080071449938),60660082,POINT (18.9627152 47.4617218),0.01095718710366669,1217.7708175144123
Debrecen Fórum,POINT (21.62938107016877 47.53283364872632),3831451117,POINT (21.6307687 47.5357072),0.0031910520946849892,354.650338751195
Dunaújváros,POINT (18.927293644182953 46.97516177484419),360390724,POINT (18.9246448 46.9744177),0.0027513674562527003,305.7842277204689
Eger,POINT (20.368272086012453 47.900864597294124),208611144,POINT (20.3677335 47.8988246),0.0021098966450641687,234.49180323578665
Győr Árkád,POINT (17.644883220914753 47.6908897275265),508963009,POINT (17.6368797 47.690229),0.008030747654928847,892.5292636211371
Győr Plaza,POINT (17.65108064418295 47.66970784130106),188119757,POINT (17.6451568 47.6723643),0.006492203225643163,721.5369742947555
Kaposvár Korzó,POINT (17.787006850612837 46.35576369227219),121761086,POINT (17.7887644 46.356772),0.0020262438950631517,225.1947202534236
Kaposvár Plaza,POINT (17.78471420235345 46.356201809505855),121761086,POINT (17.7887644 46.356772),0.004090136694018265,454.57370203649594
Kecskemét,POINT (19.69269581349023 46.90856020567641),242850187,POINT (19.6926007 46.9087434),0.00020641399230445143,22.94064469072443
Kecskemét Malom,POINT (19.688936694431607 46.90797971505145),8419174244,POINT (19.687972 46.9087931),0.0012618361307655318,140.23920573715043
Miskolc,POINT (20.78656637166073 48.10273363508551),118266820,POINT (20.7849102 48.1055875),0.0032996135410038215,366.7157493336237
Miskolc Plaza,POINT (20.78855777908525 48.10688357864317),119011418,POINT (20.7855938 48.1087771),0.00351718568553699,390.8964999048955
Nagykanizsa,POINT (17.012103964236207 46.45373603769817),245470834,POINT (17.005614 46.4549464),0.006601864334330996,733.7246002532125
Nyíregyháza Korzó,POINT (21.717216913987546 47.95839663044216),283794943,POINT (21.7181602 47.9553138),0.003223915637296114,358.30276001345277
Nyír Plaza,POINT (21.732511747397893 47.955099740961565),8525554746,POINT (21.7291615 47.9512173),0.005128109344300489,569.932944416212
Pécs Árkád,POINT (18.232343525124328 46.07218859230572),37232116,POINT (18.2288122 46.0750125),0.00452158288650273,502.52420042302697
Pécs,POINT (18.22813781349023 46.075140681064035),37232116,POINT (18.2288122 46.0750125),0.0006864601588871314,76.2924955985569
Pécs Plaza,POINT (18.210973556811688 46.04985481570616),361223737,POINT (18.2211807 46.050662),0.010239009646980848,1137.9532931558044
Salgótarján,POINT (19.80940366002663 48.106418151520145),9212014919,POINT (19.8091308 48.1085279),0.00212732020212642,236.4282399441282
Savaria Plaza,POINT (16.618125712992914 47.222485683311504),229898289,POINT (16.6142093 47.2225809),0.0039175702863942724,435.394844059573
Sopron Plaza,POINT (16.579845966953837 47.69766707135632),112666540,POINT (16.5780775 47.6937072),0.004336825627741683,481.9904634415829
Szeged Árkád,POINT (20.13894211769981 46.25478822898022),532960446,POINT (20.1409447 46.2542223),0.0020810121286719326,231.28160696846993
Szeged Plaza,POINT (20.128865474875674 46.266824354814446),116075292,POINT (20.1404329 46.2690289),0.011775624972036679,1308.7311837671843
Alba Plaza,POINT (18.40759395111015 47.190176819475454),217301518,POINT (18.409262 47.1912811),0.0020004555920608465,222.3286340460504
Szolnok,POINT (20.19410466274425 47.17800139332624),10557701541,POINT (20.1934451 47.1789188),0.0011298929235360564,125.57516962887377
Szolnok Plaza,POINT (20.19153081349023 47.17770292682154),371963333,POINT (20.1894708 47.1778847),0.002068017666349985,229.83741542047096
Szombathely,POINT (16.62262883205153 47.23147212976262),3527319,POINT (16.6250313 47.2313927),0.002403780632799305,267.15377574868194
Tatabánya,POINT (18.394439631056894 47.58663536587684),101384111,POINT (18.3983789 47.5806667),0.007151420289385043,794.8016995419644
Balaton Plaza,POINT (17.918340863738894 47.09604905855249),191801375,POINT (17.9206855 47.0926913),0.004095346346002205,455.15269754833906
Veszprém,POINT (17.92687684789521 47.084187167359204),186522185,POINT (17.9257796 47.0925327),0.008417355166685642,935.4964358702756
Zala Plaza,POINT (16.85222812041743 46.84772234986528),208050503,POINT (16.8466342 46.8456643),0.00596049619448658,662.443586559044
