id,geometry
142775759,POINT (19.1172652 47.5424334)
263986072,POINT (19.0496003 47.5025233)
272142445,POINT (19.0518427 47.5078956)
288691039,POINT (18.9473226 46.637119)
288708345,POINT (18.8934101 46.594342)
289111371,POINT (18.9182404 46.5278276)
290190057,POINT (18.7436246 46.2486953)
293565837,POINT (17.4679249 45.959644)
309999879,POINT (18.4671127 46.1740533)
311697193,POINT (18.5838795 46.5093332)
312919625,POINT (18.6559114 46.6290606)
313106025,POINT (18.4145749 46.6423062)
317400484,POINT (19.0017367 47.0887929)
323210449,POINT (18.4566662 46.4156207)
344884950,POINT (17.7320515 46.3074171)
348128267,POINT (17.7058836 46.3596796)
348264150,POINT (17.779423 46.3662934)
348379587,POINT (17.76626 46.3539583)
356739098,POINT (17.6957937 46.420187)
358900036,POINT (17.6950678 46.3288421)
370931673,POINT (18.9650988 47.6423426)
413426617,POINT (18.9695473 47.652828)
459558487,POINT (20.8352346 48.5540951)
471166739,POINT (19.1193472 47.7947593)
492615229,POINT (19.2214801 47.382026)
492615235,POINT (19.2198407 47.3754239)
504452426,POINT (20.729811 46.3703438)
504460238,POINT (20.729811 46.3732693)
504461205,POINT (20.7294014 46.3712101)
527354082,POINT (19.0921667 47.5592832)
538410050,POINT (18.1429159 46.094954)
549348476,POINT (18.3406267 46.8430243)
582827466,POINT (18.9701811 47.7829951)
637730244,POINT (16.6939847 47.6010496)
668681959,POINT (17.8062713 46.9056775)
746786452,POINT (19.529704 47.6688443)
849186659,POINT (19.1368784 47.5110277)
872669438,POINT (19.0027263 46.7985123)
912014158,POINT (20.4248591 47.1777404)
945740454,POINT (17.4613708 47.3307634)
958924137,POINT (19.437797 47.1338103)
967838721,POINT (20.143883 46.2600463)
968749151,POINT (21.5695313 47.5944599)
1118545776,POINT (18.2246684 46.0743903)
1153820347,POINT (17.269499 47.8765267)
1167814413,POINT (19.6804504 46.6874054)
1206681378,POINT (19.5143525 46.9865064)
1244413725,POINT (19.1156641 47.3995729)
1259612400,POINT (18.2326163 45.8540819)
1267928417,POINT (16.2460451 46.9408644)
1278358905,POINT (21.7600853 48.1320862)
1307322286,POINT (17.3551663 47.9385184)
1307525671,POINT (17.6487971 46.1506881)
1307532149,POINT (17.6450196 46.1454872)
1319902964,POINT (17.4529029 46.2077216)
1326422954,POINT (18.6940798 46.6366053)
1328540959,POINT (20.8475417 48.1616536)
1338333060,POINT (18.3596098 47.1180249)
1349433906,POINT (17.2711809 46.6615112)
1370529846,POINT (21.6200493 47.5305677)
1379836554,POINT (20.7575193 48.0560032)
1385112358,POINT (21.6935759 48.3611304)
1397555236,POINT (20.6392337 48.5421086)
1446024836,POINT (19.3138659 47.634703)
1458535308,POINT (19.4420318 47.6606795)
1518484191,POINT (19.049257 47.5159281)
1552020529,POINT (19.0230503 47.4530477)
1572239918,POINT (16.8758223 47.1060597)
1603983315,POINT (18.9555217 47.4601899)
1656976953,POINT (20.6223182 48.162329)
1682416177,POINT (22.4451645 48.2005476)
1682416297,POINT (22.4342729 48.2320918)
1691814117,POINT (21.3273193 48.5494332)
1694806622,POINT (19.0835247 47.5357557)
1696769373,POINT (22.4440504 48.0050212)
1696769587,POINT (22.4154044 48.0222162)
1696769621,POINT (22.675226 48.0255647)
1696769655,POINT (22.5883647 48.0292553)
1696769731,POINT (22.3963392 48.0423102)
1708786863,POINT (18.2395771 46.9338265)
1724033870,POINT (22.4171764 48.0166753)
1727204656,POINT (19.1486533 47.73385)
1742949014,POINT (19.4960304 47.7513223)
1747147085,POINT (22.5139459 48.0644713)
1753796785,POINT (17.1522132 46.2061004)
1753796791,POINT (17.1485388 46.2072687)
1764289745,POINT (19.1257891 47.4404398)
1769085561,POINT (17.8398102 46.8138914)
1769527966,POINT (17.9171942 46.7111854)
1769579499,POINT (17.9621629 46.7795861)
1770002057,POINT (17.8412504 46.7491996)
1770559992,POINT (17.9148522 46.8044518)
1777322353,POINT (17.6348133 47.687842)
1778887752,POINT (16.8415164 46.6367527)
1784869946,POINT (18.8870828 47.6717018)
1805053402,POINT (17.4444121 46.0665605)
1805108511,POINT (17.4434105 46.0938384)
1805108530,POINT (17.4342611 46.142158)
1805130844,POINT (17.4481597 46.1937043)
1805179331,POINT (17.4489505 46.2860408)
1805943183,POINT (20.4344223 47.3965867)
1806069615,POINT (19.3081156 47.6696238)
1815704468,POINT (19.0108193 47.2278637)
1864838940,POINT (20.3096492 46.4264853)
1888516608,POINT (20.3433806 46.4207477)
1888516656,POINT (20.3472542 46.4125914)
1940129261,POINT (19.3407934 47.4894229)
2033074346,POINT (18.9457694 47.6546721)
2091700618,POINT (20.2128935 47.1247329)
2092815487,POINT (21.0493132 46.4249055)
2124089485,POINT (19.2007593 47.5059598)
2126357538,POINT (19.0518777 47.4810597)
2211970025,POINT (18.4468481 47.1952569)
2213003693,POINT (19.8652417 46.7083294)
2216567126,POINT (21.5993473 48.1595481)
2216567199,POINT (21.5965051 48.1629731)
2222210584,POINT (19.2877761 46.6187606)
2232300387,POINT (22.1167253 48.3447859)
2242166718,POINT (16.6289237 47.0883499)
2251347018,POINT (18.5594331 47.7597555)
2258790813,POINT (21.5732285 47.3216855)
2259884755,POINT (21.629906 47.4066108)
2271890075,POINT (16.9920003 46.4501688)
2294152553,POINT (19.2623422 47.9196726)
2323053818,POINT (20.3001914 48.2160507)
2326427068,POINT (16.7252419 47.1895198)
2351790472,POINT (17.8564472 46.7519597)
2368665712,POINT (20.8189777 47.5033784)
2369138067,POINT (20.9868696 47.6982019)
2384485393,POINT (18.9613146 46.1867188)
2393601436,POINT (21.5640076 48.3095069)
2393634987,POINT (21.555598 48.301397)
2393670517,POINT (21.5610224 48.3111358)
2406882289,POINT (18.718357 46.1817489)
2408243163,POINT (17.2823175 46.9803186)
2411881564,POINT (19.2451829 47.4670252)
2411888441,POINT (19.2432797 47.4679566)
2420116818,POINT (19.0427725 47.4738734)
2421929678,POINT (19.3943886 46.5798419)
